fcode,fname,NAV,ACCNAV,updatetime,fdate,DGR,DGV,fee
000001,华夏成长,1.1900,3.5210,2017-10-04 23:12:27,2017-09-28 00:00:00,0.25%,0.0030,0.15%
000003,中海可转债A,0.8120,1.0220,2017-10-04 23:12:20,2017-09-28 00:00:00,-0.12%,-0.0010,0.08%
000004,中海可转债C,0.8150,1.0250,2017-10-04 23:12:20,2017-09-28 00:00:00,-0.12%,-0.0010,0.00%
000005,嘉实增强信用定期债券,1.0040,1.2050,2017-10-04 23:12:17,2017-09-28 00:00:00,0.00%,0.0000,0.08%
000007,鹏华国企债债券,1.1381,1.1469,2017-10-04 23:12:18,2017-09-28 00:00:00,-0.05%,-0.0006,0.08%
000008,嘉实中证500ETF联接,1.8007,1.8007,2017-10-04 23:12:21,2017-09-28 00:00:00,-0.21%,-0.0038,0.12%
000011,华夏大盘精选,12.2000,16.2800,2017-10-04 23:12:27,2017-09-28 00:00:00,0.24%,0.0290,0.15%
000014,华夏聚利债券,1.1670,1.1670,2017-10-04 23:12:20,2017-09-28 00:00:00,-0.09%,-0.0010,0.06%
000015,华夏纯债债券A,1.1700,1.2000,2017-10-04 23:12:30,2017-09-28 00:00:00,0.09%,0.0010,0.08%
000016,华夏纯债债券C,1.1480,1.1780,2017-10-04 23:12:15,2017-09-28 00:00:00,0.00%,0.0000,0.00%
